ts_code,trade_date,open,high,close,low,vol
513130.SH,20230516,0.522,0.524,0.518,0.517,14593643.14
513130.SH,20230517,0.522,0.524,0.516,0.515,19203094.17
513130.SH,20230518,0.518,0.523,0.517,0.515,20805213.16
513130.SH,20230519,0.512,0.515,0.511,0.509,17155139.88
513130.SH,20230522,0.511,0.523,0.521,0.508,24923232.12
513130.SH,20230523,0.522,0.525,0.512,0.512,15409164
513130.SH,20230524,0.508,0.51,0.504,0.503,17456595.47
513130.SH,20230525,0.5,0.503,0.494,0.488,35684313
513130.SH,20230526,0.49,0.492,0.492,0.487,11325455
513130.SH,20230529,0.5,0.501,0.49,0.487,25232937.2
513130.SH,20230530,0.49,0.496,0.495,0.486,27425501.78
513130.SH,20230531,0.489,0.49,0.481,0.479,26840442
513130.SH,20230601,0.484,0.498,0.489,0.483,36349198.03
513130.SH,20230602,0.499,0.514,0.511,0.498,30560542.43
513130.SH,20230605,0.509,0.516,0.513,0.507,24269034.9
513130.SH,20230606,0.514,0.523,0.511,0.51,25762721.08
513130.SH,20230607,0.524,0.528,0.525,0.521,25306236.55
513130.SH,20230608,0.524,0.526,0.523,0.517,20918258.38
513130.SH,20230609,0.526,0.53,0.53,0.519,19512098.39
513130.SH,20230612,0.53,0.532,0.53,0.524,14791711.69
513130.SH,20230613,0.53,0.548,0.545,0.53,26420460.29
513130.SH,20230614,0.547,0.555,0.545,0.544,21102611
513130.SH,20230615,0.555,0.562,0.562,0.555,22245456.93
513130.SH,20230616,0.568,0.575,0.569,0.563,23460278.2
513130.SH,20230619,0.566,0.568,0.559,0.554,21009293.64
513130.SH,20230620,0.561,0.565,0.55,0.548,21696628
513130.SH,20230621,0.54,0.545,0.537,0.536,23074783.36
513130.SH,20230626,0.525,0.533,0.528,0.523,22259781.77
513130.SH,20230627,0.531,0.541,0.54,0.529,21118526.67
513130.SH,20230628,0.538,0.546,0.545,0.533,21001822.31
513130.SH,20230629,0.543,0.544,0.536,0.535,15719521
513130.SH,20230630,0.535,0.538,0.533,0.531,20483291
513130.SH,20230703,0.537,0.554,0.553,0.537,26934051
513130.SH,20230704,0.551,0.558,0.552,0.546,22282456.36
513130.SH,20230705,0.552,0.555,0.546,0.544,16634396.42
513130.SH,20230706,0.543,0.553,0.539,0.533,28245282.55
513130.SH,20230707,0.536,0.539,0.532,0.526,30549414
513130.SH,20230710,0.543,0.547,0.536,0.534,23940977.22
513130.SH,20230711,0.545,0.549,0.545,0.54,21726920
513130.SH,20230712,0.547,0.556,0.549,0.546,20421107.13
513130.SH,20230713,0.563,0.572,0.57,0.563,24652296.96
513130.SH,20230714,0.576,0.578,0.567,0.565,20154164
513130.SH,20230717,0.563,0.564,0.559,0.557,6035783.96
513130.SH,20230718,0.565,0.566,0.558,0.557,16073304
513130.SH,20230719,0.551,0.561,0.56,0.546,22318528.5
513130.SH,20230720,0.562,0.566,0.55,0.549,29606362
